iter	Passed	Remaining
0	146	146164
1	147	73537
2	148	49336
3	149	37197
4	150	29921
5	151	25075
6	152	21609
7	153	19019
8	154	17014
9	155	15402
10	156	14105
11	158	13019
12	159	12074
13	160	11274
14	160	10568
15	161	9949
16	162	9402
17	163	8916
18	164	8480
19	165	8089
20	165	7734
21	166	7412
22	167	7116
23	168	6847
24	169	6598
25	170	6369
26	170	6157
27	171	5962
28	172	5778
29	173	5607
30	174	5446
31	175	5295
32	175	5153
33	176	5020
34	177	4894
35	178	4775
36	179	4662
37	179	4555
38	180	4454
39	181	4357
40	182	4266
41	183	4181
42	184	4103
43	185	4034
44	186	3958
45	187	3885
46	188	3815
47	189	3748
48	189	3687
49	190	3625
50	191	3566
51	192	3509
52	193	3455
53	194	3402
54	195	3351
55	195	3302
56	196	3255
57	197	3211
58	198	3167
59	199	3124
60	200	3082
61	201	3043
62	201	3004
63	202	2966
64	203	2929
65	204	2894
66	205	2859
67	205	2821
68	206	2788
69	207	2757
70	208	2726
71	209	2696
72	210	2668
73	210	2640
74	212	2616
75	212	2589
76	213	2562
77	214	2536
78	215	2511
79	216	2486
80	216	2461
81	217	2438
82	218	2415
83	219	2392
84	219	2368
85	220	2346
86	221	2322
87	222	2302
88	222	2282
89	223	2263
90	224	2244
91	225	2227
92	226	2209
93	227	2192
94	228	2174
95	229	2157
96	229	2139
97	230	2123
98	231	2106
99	232	2090
100	233	2074
101	233	2056
102	234	2040
103	235	2025
104	235	2010
105	236	1996
106	237	1982
107	238	1968
108	239	1954
109	240	1945
110	241	1934
111	242	1923
112	243	1910
113	244	1897
114	244	1885
115	245	1871
116	246	1860
117	247	1848
118	247	1835
119	248	1824
120	249	1812
121	250	1801
122	250	1788
123	251	1777
124	252	1766
125	253	1756
126	254	1748
127	255	1738
128	256	1729
129	257	1721
130	258	1712
131	259	1703
132	259	1694
133	260	1685
134	262	1680
135	263	1672
136	264	1665
137	265	1656
138	266	1649
139	267	1642
140	268	1635
141	269	1629
142	271	1624
143	272	1618
144	273	1614
145	274	1607
146	275	1601
147	276	1594
148	277	1587
149	279	1581
150	280	1576
151	281	1570
152	282	1565
153	284	1560
154	285	1554
155	286	1548
156	287	1543
157	288	1536
158	289	1530
159	290	1523
160	291	1517
161	292	1511
162	293	1507
163	294	1502
164	295	1496
165	296	1490
166	297	1484
167	298	1478
168	299	1473
169	300	1467
170	301	1461
171	302	1455
172	303	1450
173	304	1444
174	305	1439
175	307	1438
176	308	1433
177	309	1428
178	311	1427
179	312	1424
180	313	1417
181	314	1413
182	315	1409
183	316	1404
184	317	1400
185	318	1395
186	319	1390
187	320	1385
188	321	1380
189	322	1375
190	323	1370
191	324	1366
192	325	1361
193	326	1356
194	327	1351
195	328	1346
196	329	1341
197	330	1336
198	330	1332
199	331	1327
200	332	1323
201	334	1319
202	335	1316
203	336	1312
204	337	1308
205	338	1304
206	339	1300
207	340	1296
208	341	1293
209	342	1290
210	344	1286
211	345	1283
212	346	1280
213	347	1276
214	348	1272
215	349	1268
216	350	1265
217	351	1260
218	352	1257
219	353	1252
220	354	1248
221	355	1244
222	355	1240
223	357	1236
224	358	1233
225	359	1230
226	360	1226
227	361	1223
228	362	1219
229	363	1216
230	364	1212
231	365	1209
232	366	1206
233	368	1205
234	369	1202
235	370	1199
236	371	1196
237	373	1194
238	374	1192
239	375	1189
240	376	1186
241	377	1182
242	378	1179
243	379	1175
244	380	1172
245	382	1172
246	384	1170
247	384	1167
248	385	1164
249	387	1161
250	388	1158
251	389	1154
252	390	1151
253	391	1148
254	392	1145
255	393	1143
256	395	1143
257	396	1141
258	397	1138
259	399	1135
260	400	1132
261	401	1130
262	402	1128
263	403	1125
264	405	1123
265	406	1120
266	407	1118
267	408	1115
268	409	1112
269	410	1109
270	411	1106
271	412	1103
272	413	1100
273	414	1097
274	414	1094
275	415	1091
276	416	1088
277	417	1085
278	418	1082
279	419	1079
280	420	1076
281	421	1073
282	422	1070
283	423	1067
284	424	1064
285	425	1061
286	426	1058
287	426	1055
288	427	1052
289	428	1049
290	429	1047
291	430	1044
292	431	1041
293	432	1038
294	433	1035
295	434	1032
296	435	1029
297	436	1027
298	436	1024
299	437	1021
300	438	1018
301	439	1016
302	440	1013
303	441	1011
304	442	1009
305	443	1006
306	444	1004
307	445	1001
308	446	999
309	447	997
310	448	994
311	449	992
312	450	989
313	451	987
314	453	985
315	454	983
316	455	980
317	455	977
318	456	975
319	457	972
320	458	969
321	459	967
322	460	965
323	461	963
324	462	961
325	463	958
326	464	956
327	465	953
328	466	950
329	467	948
330	468	947
331	469	945
332	470	943
333	471	940
334	472	938
335	473	935
336	474	933
337	475	930
338	476	928
339	477	925
340	478	923
341	478	921
342	479	919
343	480	916
344	481	914
345	482	912
346	483	909
347	484	907
348	485	905
349	486	902
350	486	900
351	487	898
352	488	895
353	489	893
354	490	891
355	491	889
356	492	886
357	493	884
358	494	882
359	494	879
360	495	877
361	496	875
362	497	872
363	498	870
364	499	868
365	499	865
366	500	863
367	501	861
368	502	859
369	503	856
370	504	854
371	504	852
372	505	850
373	506	847
374	507	845
375	508	843
376	509	841
377	510	839
378	511	837
379	512	835
380	512	833
381	513	831
382	514	829
383	515	827
384	516	825
385	517	822
386	518	820
387	519	818
388	519	816
389	520	814
390	521	812
391	522	810
392	523	808
393	524	806
394	525	805
395	526	803
396	527	801
397	528	800
398	530	798
399	531	797
400	532	795
401	533	794
402	534	792
403	535	790
404	536	788
