iter	Passed	Remaining
0	146	146323
1	147	73827
2	148	49491
3	150	37413
4	151	30117
5	152	25226
6	153	21724
7	154	19105
8	155	17075
9	156	15515
10	157	14184
11	158	13068
12	159	12118
13	160	11310
14	162	10642
15	163	10034
16	164	9488
17	164	9001
18	165	8564
19	166	8171
20	168	7844
21	169	7527
22	170	7234
23	171	6966
24	172	6721
25	173	6493
26	174	6288
27	175	6093
28	176	5922
29	177	5749
30	178	5588
31	180	5446
32	181	5306
33	181	5170
34	182	5042
35	183	4921
36	184	4807
37	186	4709
38	186	4606
39	187	4509
40	188	4416
41	189	4328
42	190	4243
43	192	4177
44	193	4100
45	194	4029
46	195	3958
47	196	3890
48	197	3830
49	198	3773
50	199	3713
51	200	3655
52	201	3598
53	202	3543
54	203	3502
55	204	3453
56	205	3406
57	206	3359
58	207	3314
59	208	3270
60	209	3229
61	210	3189
62	211	3149
63	212	3109
64	214	3079
65	215	3044
66	216	3015
67	217	2980
68	218	2946
69	219	2913
70	220	2880
71	221	2848
72	221	2818
73	222	2790
74	223	2761
75	224	2732
76	225	2704
77	226	2677
78	227	2650
79	228	2624
80	229	2601
81	230	2579
82	230	2551
83	231	2528
84	232	2505
85	233	2483
86	234	2463
87	235	2443
88	236	2422
89	237	2402
90	238	2383
91	239	2363
92	240	2345
93	241	2327
94	242	2309
95	243	2291
96	244	2272
97	245	2255
98	245	2238
99	246	2222
100	247	2205
101	248	2190
102	249	2174
103	250	2158
104	251	2144
105	252	2131
106	253	2118
107	254	2105
108	255	2092
109	257	2079
110	257	2065
111	258	2052
112	260	2041
113	260	2028
114	261	2015
115	262	2002
116	263	1988
117	264	1976
118	265	1966
119	266	1955
120	267	1944
121	268	1932
122	269	1921
123	270	1910
124	271	1899
125	272	1890
126	273	1878
127	274	1868
128	275	1858
129	276	1848
130	277	1838
131	278	1829
132	279	1820
133	280	1811
134	281	1801
135	282	1792
136	282	1782
137	284	1774
138	285	1766
139	286	1756
140	286	1747
141	287	1737
142	288	1728
143	289	1719
144	290	1712
145	291	1704
146	292	1696
147	293	1688
148	294	1681
149	295	1673
150	296	1666
151	297	1659
152	298	1651
153	299	1643
154	299	1635
155	300	1627
156	301	1619
157	302	1611
158	303	1605
159	304	1597
160	304	1588
161	305	1581
162	306	1574
163	307	1567
164	308	1559
165	309	1553
166	310	1546
167	310	1539
168	311	1533
169	312	1526
170	313	1519
171	314	1513
172	315	1508
173	316	1502
174	317	1497
175	318	1492
176	319	1486
177	320	1479
178	321	1474
179	322	1469
180	323	1465
181	324	1459
182	325	1453
183	326	1448
184	327	1444
185	328	1438
186	329	1433
187	330	1428
188	331	1422
189	332	1417
190	333	1412
191	334	1408
192	335	1403
193	336	1398
194	337	1394
195	338	1390
196	340	1386
197	341	1381
198	342	1377
199	342	1371
200	343	1366
201	344	1361
202	345	1356
203	346	1352
204	347	1347
205	348	1342
206	349	1337
207	350	1332
208	350	1328
209	351	1323
210	352	1319
211	353	1315
212	354	1310
213	355	1306
214	356	1301
215	357	1297
216	358	1293
217	359	1289
218	360	1284
219	361	1280
220	362	1276
221	362	1271
222	363	1267
223	365	1264
224	365	1260
225	366	1256
226	367	1251
227	368	1247
228	369	1243
229	370	1239
230	371	1235
231	372	1231
232	373	1227
233	373	1223
234	374	1220
235	375	1216
236	376	1213
237	378	1210
238	379	1207
239	380	1203
240	380	1199
241	381	1196
242	382	1192
243	384	1190
244	385	1187
245	386	1183
246	387	1180
247	388	1177
248	389	1174
249	390	1170
250	391	1166
251	391	1163
252	392	1159
253	393	1156
254	394	1153
255	395	1150
256	397	1149
257	398	1146
258	399	1143
259	400	1140
260	402	1138
261	403	1136
262	404	1133
263	405	1130
264	406	1127
265	407	1123
266	408	1120
267	409	1117
268	409	1113
269	410	1110
270	411	1107
271	412	1103
272	413	1100
273	414	1097
274	415	1094
275	416	1091
276	416	1088
277	417	1084
278	418	1081
279	419	1078
280	420	1075
281	421	1072
282	422	1069
283	422	1066
284	423	1062
285	424	1059
286	425	1056
287	426	1053
288	427	1050
289	427	1047
290	428	1045
291	429	1041
292	430	1039
293	431	1035
294	432	1033
295	433	1030
296	434	1028
297	435	1025
298	435	1022
299	436	1019
300	437	1016
301	438	1013
302	439	1011
303	440	1008
304	441	1005
305	442	1002
306	442	999
307	443	997
308	444	994
309	445	992
310	446	989
311	447	987
312	448	984
313	449	982
314	450	980
315	452	978
316	452	975
317	453	973
318	454	970
319	455	967
320	456	965
321	457	963
322	458	960
323	459	957
324	459	955
325	460	952
326	461	950
327	462	947
328	463	946
329	464	943
330	465	941
331	466	939
332	467	936
333	468	934
334	469	931
335	470	929
336	471	927
337	472	925
338	473	922
339	474	920
340	474	917
341	476	915
342	476	913
343	477	911
344	478	908
345	479	906
346	480	904
347	481	902
348	482	900
349	483	898
350	484	896
351	485	894
352	486	891
353	487	889
354	488	887
355	489	885
356	490	882
357	491	880
358	491	878
359	492	876
360	493	873
361	494	871
362	495	869
363	496	867
364	497	865
365	498	863
366	499	860
367	500	858
368	501	856
369	502	854
370	502	852
371	503	850
372	504	848
373	505	846
374	506	844
375	507	842
376	508	840
377	509	838
378	510	836
379	511	834
380	512	831
381	512	829
382	514	828
383	515	826
384	516	824
385	516	822
386	517	820
387	518	818
388	519	816
389	520	814
390	521	812
391	522	810
392	523	808
393	523	805
394	524	803
395	525	801
396	526	800
397	528	798
398	529	796
399	529	794
400	531	793
401	532	791
402	533	789
403	533	787
404	534	785
405	535	783
406	536	781
407	537	779
408	538	778
409	539	776
410	540	774
411	540	772
412	541	770
413	542	768
414	543	765
415	544	764
416	545	762
417	546	760
418	546	758
419	547	756
420	548	754
421	549	752
422	550	750
423	551	749
424	552	747
425	553	745
426	553	743
427	554	741
428	555	739
429	556	737
430	557	735
431	558	733
432	558	731
433	559	730
434	560	728
435	561	726
436	562	724
437	563	723
438	564	721
439	565	719
440	566	717
441	566	715
442	567	713
443	568	712
444	569	710
445	570	708
446	571	706
447	571	704
448	572	702
449	573	701
450	574	699
451	575	697
452	576	695
453	576	693
454	577	692
455	578	690
456	579	688
457	580	686
458	581	685
459	582	683
460	582	681
461	583	679
462	584	678
463	585	676
464	586	674
465	587	672
466	588	671
467	588	669
468	589	667
469	590	665
470	591	664
471	592	662
472	593	661
473	594	659
474	594	657
475	595	655
476	596	653
477	597	652
478	598	650
479	599	648
480	600	647
481	601	645
482	601	644
483	602	642
484	603	640
485	604	639
486	605	637
487	606	635
488	606	634
489	607	632
490	608	630
491	609	629
492	610	627
493	610	625
494	611	624
495	612	622
496	613	621
497	614	619
498	615	617
499	616	616
500	617	614
501	618	613
502	618	611
503	619	610
504	620	608
505	621	606
506	622	605
507	623	603
508	624	601
